r
0
1
2
3
4
5
6
15
16
21
30
31
33
34
35
36
37
38
42
43
44
45
46
47
48
49
50
51
103
104
105
106
107
108
109
110
111
112
113
114
115
116
117
118
119
120
121
122
123
124
125
126
127
128
129
136
137
138
139
150
151
152
153
154
155
156
157
158
159
160
169
170
171
172
173
206
207
208
212
213
220
221
222
223
224
225
226
227
236
237
238
592
610
611
612
613
620
621
623
624
625
626
627
628
629
630
631
632
636
637
638
639
640
672
673
674
675
687
689
690
706
717
735
736
737
738
739
740
741
