ID,NAN,ED,LA,O,D,SL
0,999,0,41,0,39,10
1,999,0,41,0,39,10
2,999,0,41,0,62,10
3,999,0,41,1,62,10
4,999,0,41,1,62,10
5,999,0,41,1,64,10
6,999,0,41,1,64,10
7,999,0,41,7,62,10
8,999,0,41,7,64,10
9,999,0,41,8,52,10
10,999,0,41,8,62,10
11,999,0,41,8,62,10
12,999,0,41,8,64,10
13,999,0,41,17,39,10
14,999,0,41,17,64,10
15,999,0,41,18,39,10
16,999,0,41,29,62,10
17,999,0,41,29,62,10
18,999,0,41,29,62,10
19,999,0,41,29,62,10
20,999,0,41,29,62,10
21,999,0,41,29,62,10
22,999,0,41,30,62,10
23,999,0,41,30,64,10
24,999,0,41,38,62,10
25,999,0,41,38,64,10
26,999,0,41,39,18,10
27,999,0,41,39,52,10
28,999,0,41,39,52,10
29,999,0,41,39,62,10
30,999,0,41,39,62,10
31,999,0,41,39,62,10
32,999,0,41,39,62,10
33,999,0,41,39,62,10
34,999,0,41,39,62,10
35,999,0,41,39,62,10
36,999,0,41,39,62,10
37,999,0,41,39,64,10
38,999,0,41,39,64,10
39,999,0,41,41,39,10
40,999,0,41,41,62,10
41,999,0,41,41,62,10
42,999,0,41,49,62,10
43,999,0,41,52,39,10
44,999,0,41,52,39,10
45,999,0,41,52,39,10
46,999,0,41,52,62,10
47,999,0,41,52,62,10
48,999,0,41,52,62,10
49,999,0,41,52,62,10
50,999,0,41,52,62,10
51,999,0,41,52,62,10
52,999,0,41,52,62,10
53,999,0,41,52,62,10
54,999,0,41,53,39,10
55,999,0,41,53,62,10
56,999,0,41,53,62,10
57,999,0,41,53,62,10
58,999,0,41,53,62,10
59,999,0,41,53,64,10
60,999,0,41,62,39,10
61,999,0,41,62,39,10
62,999,0,41,62,39,10
63,999,0,41,62,39,10
64,999,0,41,63,39,10
65,999,0,41,63,62,10
66,999,0,41,63,62,10
67,999,0,41,63,62,10
68,999,0,41,63,62,10
69,999,0,41,63,62,10
70,999,0,41,63,64,10
71,999,0,41,64,39,10
72,999,0,41,65,29,10
73,999,0,41,65,39,10
74,999,0,41,65,62,10
75,999,0,41,65,62,10
76,999,0,41,65,64,10
